,Price,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation,Ring,Area_to_rooms
9687,34500000.0,Secondary,Хорошево,12.0,Moscow,4,92.6,48.9,14.3,10,21,European-style renovation,Beyond_rings,23.15
9688,26950000.0,Secondary,Кузьминки,17.0,Moscow,4,107.0,64.0,11.0,21,23,European-style renovation,Beyond_rings,26.75
9691,27500000.0,Secondary,Курская,4.0,Moscow,4,81.0,59.7,7.6,8,9,Without renovation,Sadovoe,20.25
9692,29500000.0,Secondary,Улица Старокачаловская,14.0,Moscow,5,115.0,81.0,10.0,13,17,European-style renovation,Beyond_rings,23.0
9696,30500000.0,Secondary,ЗИЛ,15.0,Moscow,4,73.1,66.0,12.7,6,16,Without renovation,Second_ring,18.275
9697,28000000.0,Secondary,Улица Старокачаловская,11.0,Moscow,5,111.2,68.0,11.0,13,16,Cosmetic,Beyond_rings,22.240000000000002
9699,22000000.0,Secondary,Прокшино,13.0,Moscow,4,83.0,49.1,15.8,9,18,Without renovation,Beyond_rings,20.75
9704,24000000.0,Secondary,Отрадное,23.0,Moscow,4,102.0,64.0,14.0,20,22,European-style renovation,Beyond_rings,25.5
9706,13100000.0,Secondary,Алтуфьево,12.0,Moscow,4,65.0,35.0,5.0,7,9,Without renovation,Beyond_rings,16.25
9707,27000000.0,Secondary,Окружная,10.0,Moscow,4,109.5,76.3,8.7,6,8,European-style renovation,Third_ring,27.375
9709,18990000.0,Secondary,Физтех,20.0,Moscow,4,76.0,55.0,12.0,1,12,European-style renovation,Beyond_rings,19.0
9710,24500000.0,Secondary,Печатники,14.0,Moscow,4,99.0,61.1,9.6,4,5,Designer,Third_ring,24.75
9713,34000000.0,Secondary,Академическая,12.0,Moscow,4,102.0,61.0,10.0,8,12,Cosmetic,Third_ring,25.5
9714,15800000.0,Secondary,Косино,15.0,Moscow,4,74.3,51.6,9.5,1,12,Cosmetic,Beyond_rings,18.575
9716,17500000.0,Secondary,Бибирево,16.0,Moscow,4,65.0,45.0,6.0,7,9,European-style renovation,Beyond_rings,16.25
9720,36000000.0,Secondary,Новогиреево,6.0,Moscow,4,120.9,66.1,13.1,13,16,European-style renovation,Beyond_rings,30.225
9721,20000000.0,Secondary,Строгино,19.0,Moscow,4,81.1,57.0,7.0,12,12,European-style renovation,Beyond_rings,20.275
9727,22000000.0,Secondary,Улица 1905 года,14.0,Moscow,4,89.0,54.0,9.0,1,5,Cosmetic,Second_ring,22.25
9728,40500000.0,Secondary,Спартак,13.0,Moscow,4,120.0,63.2,21.4,14,24,Without renovation,Beyond_rings,30.0
9766,38000000.0,Secondary,Крылатское,15.0,Moscow,4,112.0,63.7,12.0,15,17,European-style renovation,Beyond_rings,28.0
9767,28800000.0,Secondary,Верхние Лихоборы,6.0,Moscow,5,111.5,67.4,14.0,13,16,Cosmetic,Beyond_rings,22.3
9768,35000000.0,Secondary,Трубная,7.0,Moscow,4,77.2,42.3,10.0,5,5,Without renovation,Sadovoe,19.3
9770,16150000.0,Secondary,Новоясеневская,9.0,Moscow,4,63.1,42.8,5.0,5,9,European-style renovation,Beyond_rings,15.775
9772,30000000.0,Secondary,Беговая,10.0,Moscow,4,73.9,53.2,6.8,1,10,Cosmetic,Second_ring,18.475
9773,25000000.0,Secondary,Алтуфьево,8.0,Moscow,4,96.0,62.9,10.0,8,22,European-style renovation,Beyond_rings,24.0
9774,30500000.0,Secondary,Аэропорт,15.0,Moscow,4,78.0,55.0,8.0,3,6,European-style renovation,Third_ring,19.5
9780,30499000.0,Secondary,Люблино,18.0,Moscow,4,86.0,45.6,20.0,3,17,European-style renovation,Beyond_rings,21.5
9784,29500000.0,Secondary,Шаболовская,9.0,Moscow,4,84.2,60.5,7.1,2,5,Cosmetic,Second_ring,21.05
9788,29000000.0,Secondary,Дмитровская,10.0,Moscow,4,102.0,68.0,15.0,2,5,European-style renovation,Third_ring,25.5
9789,27590000.0,Secondary,Дмитровская,6.0,Moscow,4,101.0,72.0,9.0,3,5,Cosmetic,Third_ring,25.25
9794,42000000.0,Secondary,ВДНХ,12.0,Moscow,4,105.0,66.0,9.0,22,22,Designer,Third_ring,26.25
9797,17200000.0,Secondary,Рабочий Посёлок,23.0,Moscow,4,74.4,51.3,8.7,1,14,Without renovation,Beyond_rings,18.6
9805,43500000.0,Secondary,Зюзино,12.0,Moscow,4,124.0,64.8,16.9,20,23,Without renovation,Third_ring,31.0
9807,44900000.0,Secondary,Бульвар Рокоссовского,9.0,Moscow,4,120.0,65.1,13.5,4,30,Designer,Third_ring,30.0
